theta,dist
209.03, 00000.00
209.69, 00000.00
210.34, 00000.00
210.98, 00000.00
211.64, 00000.00
212.30, 00000.00
212.95, 00000.00
213.61, 00000.00
214.27, 00000.00
214.91, 00000.00
215.56, 00000.00
216.22, 00000.00
216.88, 00000.00
217.53, 00000.00
218.17, 00000.00
218.83, 00000.00
219.48, 00000.00
219.72, 09062.00
220.14, 00000.00
220.39, 09046.00
220.80, 00000.00
221.45, 00000.00
221.70, 08087.00
222.09, 00000.00
224.06, 00000.00
225.36, 00000.00
226.02, 00000.00
226.67, 00000.00
227.33, 00000.00
227.64, 06070.00
227.98, 00000.00
228.42, 05840.00
228.62, 00000.00
228.95, 05710.00
229.28, 00000.00
229.75, 05547.00
229.94, 00000.00
230.41, 05438.00
231.06, 05312.00
231.72, 05214.00
232.39, 05113.00
233.05, 04954.00
233.70, 04814.00
234.36, 04766.00
235.03, 04659.00
235.69, 04575.00
236.34, 04503.00
237.02, 04422.00
237.67, 04305.00
238.33, 04241.00
239.00, 04175.00
239.66, 04078.00
240.31, 04052.00
240.98, 03985.00
241.64, 03890.00
242.30, 03835.00
242.97, 03789.00
243.75, 03717.00
244.41, 03648.00
245.06, 03618.00
245.73, 03590.00
246.39, 03496.00
247.05, 03360.00
247.72, 03427.00
248.38, 03348.00
249.03, 03260.00
249.70, 03225.00
250.36, 03169.00
251.02, 03217.00
251.69, 03208.00
252.34, 03157.00
253.00, 03135.00
253.67, 03129.00
254.33, 03063.00
255.00, 03051.00
255.67, 03022.00
256.34, 02973.00
257.02, 02954.00
257.69, 02931.00
258.48, 02898.00
259.03, 02878.00
259.83, 02848.00
260.50, 02811.00
261.17, 02804.00
261.84, 02780.00
262.52, 02776.00
263.19, 02734.00
263.86, 02719.00
264.53, 02766.00
265.19, 02827.00
265.86, 02866.00
266.41, 02949.00
267.08, 03042.00
267.75, 03055.00
268.42, 03119.00
269.09, 03206.00
269.77, 03259.00
270.44, 03353.00
271.11, 03427.00
271.78, 03516.00
272.45, 03611.00
273.12, 03703.00
273.67, 03775.00
274.34, 03891.00
275.02, 04081.00
276.34, 04353.00
277.64, 00000.00
278.94, 00000.00
279.59, 00000.00
280.25, 00000.00
280.91, 00000.00
281.55, 00000.00
282.20, 00000.00
282.86, 00000.00
283.52, 00000.00
284.17, 00000.00
284.83, 00000.00
285.47, 00000.00
286.12, 00000.00
286.78, 00000.00
287.44, 00000.00
287.61, 11191.00
288.09, 00000.00
288.28, 10234.00
288.73, 00000.00
290.28, 16095.00
290.70, 00000.00
291.36, 00000.00
292.66, 00000.00
293.31, 00000.00
293.97, 00000.00
294.62, 00000.00
295.28, 00000.00
295.92, 00000.00
296.58, 00000.00
297.23, 00000.00
297.89, 00000.00
298.55, 00000.00
299.19, 00000.00
299.84, 00000.00
300.50, 00000.00
301.16, 00000.00
301.81, 00000.00
302.47, 00000.00
303.11, 00000.00
303.56, 07624.00
303.77, 00000.00
304.23, 07504.00
304.42, 00000.00
304.89, 07419.00
305.55, 07226.00
306.20, 07231.00
306.88, 07166.00
307.53, 07094.00
308.19, 07009.00
308.84, 07147.00
309.52, 07013.00
310.17, 07094.00
310.83, 06166.00
311.61, 05720.00
312.28, 05512.00
312.94, 05352.00
313.59, 05204.00
314.25, 05029.00
314.92, 04885.00
316.23, 04344.00
316.83, 00000.00
316.89, 04111.00
317.56, 04013.00
318.23, 03896.00
319.03, 03825.00
320.39, 03644.00
320.75, 00000.00
321.08, 03578.00
321.75, 03504.00
322.44, 03428.00
323.11, 03442.00
323.78, 03459.00
324.47, 03468.00
325.14, 03504.00
325.83, 03539.00
326.38, 04193.00
327.73, 04233.00
327.94, 00000.00
328.42, 04276.00
329.09, 04376.00
329.77, 04383.00
330.47, 04394.00
331.12, 04420.00
331.81, 04453.00
332.48, 04507.00
333.42, 02663.00
334.09, 02635.00
334.77, 02614.00
335.45, 02581.00
336.12, 02534.00
336.81, 02509.00
337.50, 02472.00
338.17, 02439.00
338.84, 02405.00
339.53, 02346.00
340.19, 02305.00
340.98, 02324.00
341.53, 02280.00
342.33, 02264.00
343.00, 02208.00
343.67, 02201.00
344.34, 02158.00
345.02, 02140.00
345.67, 02117.00
346.34, 02104.00
347.02, 02089.00
347.69, 02063.00
348.36, 02037.00
349.03, 02007.00
349.70, 01965.00
350.50, 01908.00
351.16, 01867.00
351.83, 01902.00
352.12, 01929.00
352.75, 01916.00
353.38, 01904.00
354.14, 01886.00
354.73, 00000.00
355.27, 01884.00
355.91, 01855.00
356.66, 01853.00
357.28, 01838.00
357.91, 01832.00
358.55, 01815.00
359.17, 01796.00
359.80, 01785.00
0.77, 00000.00
1.22, 01786.00
1.89, 01780.00
2.56, 01763.00
3.23, 01748.00
3.91, 01747.00
4.58, 01732.00
5.25, 01731.00
5.94, 01721.00
6.61, 01710.00
7.28, 01702.00
7.95, 01693.00
8.62, 01685.00
9.42, 01679.00
9.98, 01672.00
10.78, 01668.00
11.33, 01668.00
12.12, 01656.00
12.67, 01649.00
13.47, 01648.00
14.14, 01641.00
14.83, 01641.00
15.50, 01644.00
16.05, 01639.00
16.72, 01636.00
17.39, 01629.00
18.06, 01627.00
18.75, 01627.00
19.42, 01623.00
20.09, 01632.00
20.89, 01619.00
21.56, 01615.00
22.23, 01612.00
22.92, 01619.00
23.59, 01617.00
24.28, 01611.00
24.84, 01609.00
25.66, 01613.00
26.34, 01608.00
27.02, 01613.00
27.70, 01608.00
28.39, 01612.00
28.95, 01609.00
29.77, 01613.00
30.44, 01618.00
31.12, 01621.00
31.81, 01617.00
32.38, 01623.00
33.06, 01624.00
33.75, 01626.00
34.55, 01621.00
35.11, 01658.00
35.80, 01660.00
36.61, 01669.00
37.17, 01665.00
37.97, 01668.00
38.53, 01685.00
39.22, 01676.00
40.03, 01686.00
40.59, 01695.00
41.27, 01696.00
42.64, 01692.00
42.84, 00000.00
43.33, 01698.00
44.02, 01699.00
44.83, 01700.00
45.38, 01698.00
46.05, 01721.00
46.72, 01730.00
47.39, 01737.00
48.06, 01744.00
48.73, 01749.00
49.41, 01764.00
50.08, 01771.00
50.75, 01794.00
51.42, 01799.00
52.09, 01808.00
52.77, 01823.00
53.44, 01828.00
54.11, 01847.00
54.78, 01858.00
55.47, 01872.00
56.14, 01887.00
56.81, 01769.00
58.03, 01956.00
58.70, 01960.00
58.70, 00000.00
59.38, 01975.00
60.05, 01999.00
60.72, 02016.00
61.39, 02030.00
62.06, 02047.00
62.73, 02071.00
63.41, 02093.00
