theta,dist
178.72, 05735.00
179.30, 05682.00
179.86, 05613.00
180.42, 05467.00
180.98, 05435.00
181.55, 05369.00
182.11, 05235.00
182.69, 05186.00
183.25, 05120.00
183.81, 05041.00
184.38, 04965.00
184.95, 04865.00
185.53, 04792.00
186.11, 04790.00
186.69, 04684.00
187.27, 04633.00
187.84, 04555.00
188.44, 04543.00
189.00, 04455.00
189.58, 04435.00
190.16, 04348.00
190.73, 04289.00
191.31, 04248.00
191.89, 04180.00
192.47, 04147.00
193.05, 04099.00
193.62, 04035.00
194.20, 04163.00
194.78, 04097.00
195.36, 04064.00
195.94, 04026.00
196.52, 04003.00
197.22, 03930.00
197.67, 03881.00
198.25, 03855.00
198.95, 03704.00
199.53, 03692.00
200.11, 03652.00
200.69, 03617.00
201.27, 03611.00
201.84, 03571.00
202.42, 03559.00
203.00, 03532.00
203.59, 03513.00
204.16, 03470.00
204.73, 03461.00
205.31, 03425.00
205.89, 03402.00
206.47, 03348.00
207.05, 03339.00
207.61, 03325.00
208.19, 03293.00
208.77, 03289.00
209.34, 03271.00
209.92, 03266.00
210.50, 03227.00
211.06, 03194.00
211.64, 03188.00
212.22, 03171.00
212.80, 03158.00
213.38, 03118.00
213.95, 03114.00
214.53, 03110.00
215.09, 03102.00
215.67, 03079.00
216.25, 03085.00
216.83, 03072.00
217.41, 03064.00
217.98, 03035.00
218.55, 03014.00
219.12, 02995.00
219.70, 02963.00
220.28, 02957.00
220.86, 02963.00
221.44, 02936.00
222.02, 02944.00
222.59, 02931.00
223.17, 02909.00
223.88, 02942.00
224.33, 02915.00
225.03, 02898.00
225.61, 02889.00
226.06, 02892.00
226.77, 02898.00
227.34, 02888.00
227.92, 02872.00
228.52, 02868.00
229.08, 02848.00
229.53, 02833.00
230.23, 02826.00
230.81, 02795.00
231.39, 02790.00
231.97, 02777.00
232.55, 02769.00
233.12, 02788.00
233.70, 02829.00
234.28, 02815.00
234.73, 02799.00
235.31, 02831.00
236.02, 02796.00
236.47, 02799.00
237.17, 02806.00
237.75, 02802.00
238.33, 02794.00
238.91, 02795.00
239.48, 02770.00
240.06, 02795.00
240.64, 02794.00
241.22, 02798.00
241.80, 02799.00
242.38, 02789.00
242.95, 02795.00
243.53, 02805.00
244.12, 02801.00
244.70, 02807.00
245.28, 02809.00
245.73, 02820.00
246.44, 02807.00
246.91, 02831.00
247.61, 02816.00
248.20, 02822.00
248.77, 02818.00
249.34, 02841.00
249.94, 02840.00
250.52, 02869.00
250.97, 02858.00
251.55, 02864.00
252.12, 02864.00
252.70, 02858.00
253.42, 02875.00
253.88, 02882.00
254.45, 02895.00
255.16, 02897.00
255.61, 02902.00
256.33, 02895.00
256.78, 02909.00
257.48, 02928.00
257.94, 02916.00
258.64, 02934.00
259.11, 02944.00
259.69, 02963.00
260.28, 02985.00
260.86, 02991.00
261.45, 02986.00
262.05, 02998.00
262.62, 02996.00
263.22, 03005.00
263.81, 03016.00
264.39, 03045.00
264.98, 03079.00
265.56, 03082.00
266.16, 03105.00
266.75, 03116.00
267.33, 03128.00
267.92, 03157.00
268.52, 03159.00
269.09, 03177.00
269.69, 03179.00
270.27, 03210.00
270.86, 03254.00
271.45, 03247.00
272.03, 03280.00
272.62, 03302.00
273.22, 03319.00
273.80, 03343.00
274.39, 03386.00
274.97, 03398.00
275.56, 03428.00
276.16, 03435.00
276.73, 03442.00
277.33, 03513.00
277.92, 03533.00
278.50, 03532.00
279.08, 03562.00
279.67, 03606.00
280.25, 03599.00
280.84, 03648.00
281.42, 03652.00
282.02, 03703.00
282.59, 03729.00
283.17, 03806.00
283.64, 03830.00
284.34, 03814.00
284.94, 03759.00
285.52, 03722.00
286.11, 03694.00
286.69, 03640.00
287.28, 03631.00
287.86, 03618.00
288.44, 03545.00
289.03, 03549.00
289.61, 03515.00
290.20, 03473.00
290.78, 03436.00
291.38, 03413.00
291.95, 03389.00
292.53, 03379.00
293.12, 03094.00
293.70, 03060.00
294.30, 03038.00
294.88, 03004.00
295.47, 02998.00
296.55, 01543.00
297.14, 01554.00
297.70, 01535.00
298.28, 01514.00
299.50, 02855.00
299.84, 00000.00
300.08, 02851.00
300.42, 00000.00
300.66, 02850.00
301.23, 02831.00
301.94, 02822.00
302.50, 02801.00
303.08, 02761.00
303.66, 02796.00
304.11, 02878.00
304.67, 02915.00
305.25, 02926.00
305.95, 02919.00
306.53, 02917.00
306.98, 02910.00
307.67, 02708.00
308.25, 02690.00
308.83, 02675.00
309.41, 02664.00
309.97, 02632.00
310.55, 02641.00
311.12, 02630.00
311.70, 02628.00
312.28, 02623.00
312.84, 02608.00
313.42, 02593.00
314.00, 02603.00
314.58, 02584.00
315.16, 02568.00
315.73, 02553.00
316.33, 02548.00
316.92, 02551.00
317.50, 02540.00
318.09, 02545.00
318.69, 02635.00
319.28, 02736.00
319.86, 02730.00
320.45, 02708.00
321.05, 02699.00
321.62, 02707.00
322.22, 02683.00
322.81, 02688.00
323.41, 02693.00
323.98, 02684.00
324.58, 02696.00
325.17, 02678.00
325.75, 02668.00
326.34, 02671.00
326.95, 02672.00
327.53, 02662.00
328.11, 02673.00
328.70, 02673.00
329.30, 02681.00
329.88, 02677.00
330.47, 02699.00
331.06, 02628.00
331.66, 02631.00
332.23, 02630.00
332.83, 02632.00
333.42, 02651.00
334.02, 02685.00
334.59, 02706.00
335.17, 02713.00
335.75, 02726.00
336.34, 02732.00
336.92, 02725.00
337.50, 02711.00
338.09, 02736.00
338.67, 02723.00
339.25, 02744.00
339.84, 02730.00
340.42, 02743.00
341.02, 02743.00
341.59, 02762.00
342.17, 02750.00
342.75, 02756.00
343.34, 02779.00
343.92, 02787.00
344.50, 02800.00
345.08, 02798.00
