theta,dist
193.47, 01056.00
193.95, 01061.00
194.56, 01067.00
195.55, 00839.00
196.17, 00824.00
197.05, 00791.00
197.55, 00781.00
198.17, 00772.00
198.80, 00761.00
199.69, 00740.00
200.30, 00729.00
200.80, 00715.00
201.55, 00706.00
202.30, 00688.00
202.92, 00675.00
203.42, 00670.00
204.17, 00653.00
204.80, 00646.00
205.55, 00637.00
206.30, 00627.00
206.80, 00617.00
207.42, 00608.00
208.30, 00602.00
208.80, 00594.00
209.55, 00584.00
210.05, 00579.00
211.42, 00747.00
212.30, 00676.00
212.34, 00000.00
212.95, 00000.00
214.80, 00000.00
215.30, 00736.00
215.41, 00000.00
215.94, 00740.00
216.03, 00000.00
216.56, 00743.00
216.64, 00000.00
217.78, 00694.00
218.39, 00696.00
219.02, 00692.00
219.09, 00000.00
219.62, 00702.00
220.23, 00707.00
222.09, 00712.00
222.70, 00711.00
222.98, 00375.00
223.31, 00712.00
223.41, 00000.00
224.55, 00715.00
225.17, 00714.00
225.78, 00716.00
225.86, 00000.00
226.41, 00712.00
226.89, 00714.00
227.62, 00716.00
228.25, 00720.00
228.73, 00722.00
229.34, 00728.00
229.97, 00732.00
230.70, 00736.00
231.20, 00731.00
231.81, 00734.00
232.55, 00750.00
232.92, 00754.00
233.53, 00756.00
234.28, 00754.00
236.92, 00000.00
237.27, 00773.00
237.53, 00000.00
238.14, 00000.00
238.75, 00000.00
239.14, 00798.00
239.64, 00797.00
239.98, 00000.00
240.27, 00805.00
240.59, 00000.00
241.02, 00811.00
241.64, 00832.00
243.41, 03482.00
244.03, 03531.00
244.28, 00000.00
244.66, 03482.00
244.91, 00000.00
245.28, 03473.00
245.52, 00000.00
245.91, 03523.00
246.12, 00000.00
246.53, 03509.00
247.28, 02666.00
247.92, 02696.00
248.55, 02752.00
249.17, 02747.00
249.80, 02762.00
250.42, 02823.00
250.92, 02860.00
251.55, 02852.00
252.17, 02879.00
252.92, 02870.00
253.55, 02846.00
254.19, 02843.00
254.80, 02809.00
255.42, 02796.00
256.55, 03554.00
257.16, 03545.00
257.78, 03561.00
258.41, 03555.00
259.03, 00000.00
259.03, 03599.00
259.64, 03573.00
260.27, 03592.00
260.89, 03576.00
261.52, 03633.00
262.12, 03626.00
262.75, 03635.00
263.38, 03653.00
264.00, 03652.00
264.61, 03680.00
265.23, 03691.00
265.86, 03721.00
266.48, 03695.00
267.09, 03739.00
267.72, 03763.00
268.34, 03783.00
268.97, 03831.00
269.58, 03836.00
270.20, 03859.00
270.70, 03832.00
271.33, 03873.00
271.94, 03906.00
272.94, 02194.00
273.81, 01505.00
274.44, 01524.00
275.06, 01552.00
275.70, 01598.00
276.22, 01639.00
276.86, 01676.00
277.62, 01703.00
278.14, 01717.00
278.77, 01738.00
279.41, 01748.00
280.05, 01762.00
280.69, 01760.00
281.33, 01779.00
281.97, 01791.00
282.59, 01786.00
283.23, 01797.00
283.88, 01802.00
284.52, 01815.00
285.94, 04553.00
286.56, 04587.00
287.20, 04655.00
287.30, 00000.00
287.84, 04680.00
287.91, 00000.00
288.48, 04726.00
289.12, 04796.00
289.77, 04814.00
290.39, 04885.00
291.03, 04928.00
291.67, 04977.00
292.31, 04998.00
292.95, 05076.00
293.59, 05133.00
294.23, 05225.00
294.84, 05269.00
295.47, 05374.00
296.08, 05501.00
296.72, 05530.00
297.33, 05571.00
297.94, 05643.00
299.31, 01330.00
300.06, 01314.00
300.67, 01303.00
301.17, 01293.00
301.78, 01275.00
302.53, 01260.00
303.16, 01246.00
303.77, 01236.00
304.39, 01224.00
305.02, 01212.00
305.62, 01203.00
306.25, 01190.00
306.86, 01181.00
307.48, 01169.00
309.41, 00000.00
310.02, 00000.00
310.64, 00000.00
311.25, 00000.00
311.86, 00000.00
312.48, 00000.00
313.09, 00000.00
313.31, 00680.00
313.94, 00687.00
314.94, 00000.00
315.55, 00000.00
316.16, 00000.00
316.78, 00000.00
317.39, 00000.00
318.00, 00000.00
318.62, 00000.00
318.98, 01030.00
319.23, 00000.00
319.50, 01025.00
320.25, 01013.00
320.89, 01014.00
321.53, 01007.00
322.16, 01002.00
322.80, 01000.00
323.44, 00991.00
324.20, 00988.00
324.84, 00981.00
325.34, 00979.00
326.11, 00973.00
326.61, 00973.00
327.25, 00970.00
328.02, 00964.00
328.66, 00960.00
329.16, 00958.00
329.80, 00952.00
330.56, 00951.00
331.19, 00950.00
331.83, 00944.00
332.47, 00944.00
333.11, 00940.00
333.73, 00939.00
334.38, 00935.00
335.02, 00935.00
335.66, 00933.00
336.28, 00930.00
336.91, 00930.00
337.53, 00927.00
338.16, 00926.00
338.78, 00923.00
339.41, 00923.00
340.05, 00922.00
340.67, 00923.00
341.30, 00921.00
341.92, 00923.00
342.55, 00919.00
343.17, 00918.00
343.83, 00919.00
344.44, 00918.00
345.06, 00917.00
345.69, 00918.00
346.31, 00919.00
346.94, 00919.00
347.56, 00920.00
348.20, 00920.00
348.83, 00918.00
349.45, 00921.00
350.20, 00922.00
350.70, 00923.00
351.33, 00922.00
351.97, 00924.00
352.59, 00925.00
353.03, 00927.00
353.62, 00929.00
354.20, 00930.00
354.80, 00931.00
355.39, 00932.00
355.86, 00933.00
356.58, 00933.00
357.19, 00936.00
357.75, 00940.00
358.34, 00942.00
358.94, 00943.00
359.53, 00948.00
